name,placeRating,theme,address,latitude,longitude,webUrl,textRating,text,numberOfReviews,lang,placeID,website,city,imageUrl,description,text_sentiment,subtype
Abu Atta boiler room rest house,3.4,cafe shop,,24.6711202,46.8478781,https://www.google.com/maps/place/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D8%A8%D9%88%D8%B9%D8%B7%D8%A7+%D9%83%D9%86%D9%82+%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%AC%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9753a1ce3a3:0x20ad7f8db5f746a8!8m2!3d24.6711202!4d46.8478781!16s%2Fg%2F11pywsm45y!19sChIJo-McOnWpLz4RqEb3tY1_rSA?authuser=0&hl=en&rclk=1,,,7,,,,,,,,cafe shops
DAN CAFE 8 Try,4.0,cafe shop,,24.6331312,46.8476799,https://www.google.com/maps/place/DAN+CAFE+8+Sulay/data=!4m7!3m6!1s0x3e2fa71b7aa3d285:0x4cec1754a41cdd0c!8m2!3d24.6331312!4d46.8476799!16s%2Fg%2F11h52zjf0b!19sChIJhdKjehunLz4RDN0cpFQX7Ew?authuser=0&hl=en&rclk=1,,,4,,,,,,,,cafe shops
Al -Otaibi buffet,3.6,cafe shop,,24.7107997,46.8476626,https://www.google.com/maps/place/%D8%A8%D9%88%D9%81%D9%8A%D8%A9+%D8%A7%D9%84%D8%B9%D8%AA%D9%8A%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2fa995885b4507:0xca0df3423a4484!8m2!3d24.7107997!4d46.8476626!16s%2Fg%2F11g6yzd7gc!19sChIJB0VbiJWpLz4RhEQ6QvMNygA?authuser=0&hl=en&rclk=1,,,34,,,,,,,,cafe shops
"Rest house Abu Suleiman, Sheikh of the boilers",4.4,cafe shop,,24.6713062,46.8475308,https://www.google.com/maps/place/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D8%A8%D9%88%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86+%D8%B4%D9%8A%D8%AE+%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%AC%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2fa956450fd5df:0x32dc88d232517349!8m2!3d24.6713062!4d46.8475308!16s%2Fg%2F11fl5d5dw2!19sChIJ39UPRVapLz4RSXNRMtKI3DI?authuser=0&hl=en&rclk=1,,,7,,,,,,,,cafe shops
Resort Al shbl,5.0,cafe shop,,24.6711039,46.8473166,https://www.google.com/maps/place/Resort+Al+shbl/data=!4m7!3m6!1s0x3e2fa90f01565a01:0xee078a71c7bbdf37!8m2!3d24.6711039!4d46.8473166!16s%2Fg%2F11ffv2qyhg!19sChIJAVpWAQ-pLz4RN9-7x3GKB-4?authuser=0&hl=en&rclk=1,,,1,,,,,,,,cafe shops
White football lounge white football café Blasdo Playstation Tennis,4.0,cafe shop,,24.5597289,46.8470409,https://www.google.com/maps/place/%D8%B5%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D9%88%D8%B1%D8%A9+%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1+%D8%A7%D9%84%D9%83%D9%88%D8%B1%D9%87+%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1+%D9%85%D9%82%D9%87%D9%89+%D8%A8%D9%84%D9%8A%D8%A7%D8%B1%D8%AF%D9%88+%D8%A8%D9%84%D8%A7%D9%8A%D8%B3%D8%AA%D9%8A%D8%B4%D9%86+%D8%AA%D9%86%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x3e2fa199573620bd:0x7e37b9b39ea29cd1!8m2!3d24.5597289!4d46.8470409!16s%2Fg%2F11h5m9wfng!19sChIJvSA2V5mhLz4R0ZyinrO5N34?authuser=0&hl=en&rclk=1,,,136,,,,,,,,cafe shops
Glow of Diwaniyah Cafe,4.4,cafe shop,,24.5599887,46.8467973,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%88%D9%87%D8%AC+%D8%A7%D9%84%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2fa1508c851d6f:0xfebbb123994d410f!8m2!3d24.5599887!4d46.8467973!16s%2Fg%2F11p5lpkvxp!19sChIJbx2FjFChLz4RD0FNmSOxu_4?authuser=0&hl=en&rclk=1,,,25,,,,,,,,cafe shops
Diwaniyah and Cafe Al-Faridah Corner for serving drinks,4.5,cafe shop,,24.5594783,46.8465916,https://www.google.com/maps/place/%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D9%88%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%D8%B1%D9%83%D9%86+%D8%A7%D9%84%D8%AA%D9%81%D8%B1%D8%AF+%D9%84%D8%AA%D9%82%D8%AF%D9%8A%D9%85+%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2fa1db3ad3090d:0xc87c3321c8585d7d!8m2!3d24.5594783!4d46.8465916!16s%2Fg%2F11fltzn11p!19sChIJDQnTOtuhLz4RfV1YyCEzfMg?authuser=0&hl=en&rclk=1,,,34,,,,,,,,cafe shops
Dr. Coffee | Dr. Kaif Cafe,4.0,cafe shop,,24.7458556,46.8462532,https://www.google.com/maps/place/dr.CAFE+COFFEE+%7C+%D8%AF.%D9%83%D9%8A%D9%81+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%8E%E2%80%AD/data=!4m7!3m6!1s0x3e2efd05adeb83e5:0x969915ad21e01c84!8m2!3d24.7458556!4d46.8462532!16s%2Fg%2F11by_dcxt6!19sChIJ5YPrrQX9Lj4RhBzgIa0VmZY?authuser=0&hl=en&rclk=1,,,452,,,,,,,,cafe shops
Quarter Sidra break,4.5,cafe shop,,24.867298,46.8461511,https://www.google.com/maps/place/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%B1%D8%A8%D8%B9+%D8%A7%D9%84%D8%B3%D8%AF%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2e55c18c1915cf:0x4e260c7a2ca1c902!8m2!3d24.867298!4d46.8461511!16s%2Fg%2F11f3tq2_9q!19sChIJzxUZjMFVLj4RAsmhLHoMJk4?authuser=0&hl=en&rclk=1,,,24,,,,,,,,cafe shops
Dalla Royal Arabian Coffee,4.2,cafe shop,,24.7366382,46.8458042,https://www.google.com/maps/place/Dalla+Royal+Arabian+Coffee/data=!4m7!3m6!1s0x3e2faa228cc9a985:0x6f560dfca569279c!8m2!3d24.7366382!4d46.8458042!16s%2Fg%2F11fx8vnfs8!19sChIJhanJjCKqLz4RnCdppfwNVm8?authuser=0&hl=en&rclk=1,,,87,,,,,,,,cafe shops
Lilies mountain cafe,4.1,cafe shop,,24.7451937,46.8456441,https://www.google.com/maps/place/Lilies+mountain+cafe/data=!4m7!3m6!1s0x3e2faa3e38f4fb07:0x7d4be4bf660cf482!8m2!3d24.7451937!4d46.8456441!16s%2Fg%2F11bwqbtws0!19sChIJB_v0OD6qLz4RgvQMZr_kS30?authuser=0&hl=en&rclk=1,,,120,,,,,,,,cafe shops
Al Hathal break,4.1,cafe shop,,24.6897535,46.8454426,https://www.google.com/maps/place/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%87%D8%B0%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9159a9009cd:0x171938671a284318!8m2!3d24.6897535!4d46.8454426!16s%2Fg%2F11fn797v28!19sChIJzQmQmhWpLz4RGEMoGmc4GRc?authuser=0&hl=en&rclk=1,,,12,,,,,,,,cafe shops
A break as long as you stand,5.0,cafe shop,,24.6908148,46.8453408,https://www.google.com/maps/place/%D8%A5%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%AF%D8%A7%D9%85%D9%83+%D9%88%D8%A7%D9%82%D9%81%E2%80%AD/data=!4m7!3m6!1s0x3e2fa97c26144ab7:0x834519c1c216220d!8m2!3d24.6908148!4d46.8453408!16s%2Fg%2F11fl9hpjjn!19sChIJt0oUJnypLz4RDSIWwsEZRYM?authuser=0&hl=en&rclk=1,,,3,,,,,,,,cafe shops
Resting children,4.0,cafe shop,,24.6910963,46.8452036,https://www.google.com/maps/place/%D8%A3%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2fa999e22cdb1f:0x9ea1c05229ec62a8!8m2!3d24.6910963!4d46.8452036!16s%2Fg%2F11h426bwz6!19sChIJH9ss4pmpLz4RqGLsKVLAoZ4?authuser=0&hl=en&rclk=1,,,3,,,,,,,,cafe shops
Burger buffet,5.0,cafe shop,,24.7070913,46.8449903,https://www.google.com/maps/place/%D8%A8%D9%88%D9%81%D9%8A%D9%87+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9db0c55ff6f:0x6ad2656ee49d8c1c!8m2!3d24.7070913!4d46.8449903!16s%2Fg%2F11tnzzzqnd!19sChIJb_9VDNupLz4RHIyd5G5l0mo?authuser=0&hl=en&rclk=1,,,1,,,,,,,,cafe shops
Diwaniyah of Al Samir,4.4,cafe shop,,24.7042948,46.8442631,https://www.google.com/maps/place/%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D8%A2%D9%84+%D8%B3%D9%85%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2fa90fbb9efa25:0x80d6653d488c1f81!8m2!3d24.7042948!4d46.8442631!16s%2Fg%2F11gy47vt1p!19sChIJJfqeuw-pLz4RgR-MSD1l1oA?authuser=0&hl=en&rclk=1,,,43,,,,,,,,cafe shops
Diwaniya planets,4.2,cafe shop,,24.6964773,46.8438962,https://www.google.com/maps/place/%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D9%83%D9%88%D8%A7%D9%83%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x3e2fa930eba1513d:0x3f346d04201fa63b!8m2!3d24.6964773!4d46.8438962!16s%2Fg%2F11h8bsgd39!19sChIJPVGh6zCpLz4RO6YfIARtND8?authuser=0&hl=en&rclk=1,,,156,,,,,,,,cafe shops
Dar Al Nakhleteen Resthouse,4.1,cafe shop,,24.8747438,46.8430481,https://www.google.com/maps/place/Dar+Al+Nakhleteen+Resthouse/data=!4m7!3m6!1s0x3e2e55e716f21f49:0x14f19169fade9aa7!8m2!3d24.8747438!4d46.8430481!16s%2Fg%2F11dylxzz3q!19sChIJSR_yFudVLj4Rp5re-mmR8RQ?authuser=0&hl=en&rclk=1,,,51,,,,,,,,cafe shops
Hamala private rest house,4.0,cafe shop,,24.8720727,46.8423781,https://www.google.com/maps/place/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%87%D9%85%D9%84%D8%A9+%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2e55b175daf0ab:0xe6897f42404f8817!8m2!3d24.8720727!4d46.8423781!16s%2Fg%2F11fjmt7ljz!19sChIJq_DadbFVLj4RF4hPQEJ_ieY?authuser=0&hl=en&rclk=1,,,14,,,,,,,,cafe shops
Tea 3 rich,4.7,cafe shop,,24.7135358,46.8423183,https://www.google.com/maps/place/%D8%B4%D8%A7%D9%8A+3+%D8%AB%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9f163b47deb:0x8110b6db3cd76f7a!8m2!3d24.7135358!4d46.8423183!16s%2Fg%2F11tc1nq65f!19sChIJ6320Y_GpLz4Rem_XPNu2EIE?authuser=0&hl=en&rclk=1,,,35,,,,,,,,cafe shops
Soda Cafe,4.5,cafe shop,,24.7207786,46.842299,https://www.google.com/maps/place/%D8%B3%D9%88%D8%AF%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9372b399387:0x7a2dc4f78e86583b!8m2!3d24.7207786!4d46.842299!16s%2Fg%2F11tfp7_bfd!19sChIJh5M5KzepLz4RO1iGjvfELXo?authuser=0&hl=en&rclk=1,,,8,,,,,,,,cafe shops
Zero Hour Café,4.5,cafe shop,,24.6895576,46.8421898,https://www.google.com/maps/place/Zero+Hour+Caf%C3%A9/data=!4m7!3m6!1s0x3e2fa9a56780598d:0x1c153cccf4393cb9!8m2!3d24.6895576!4d46.8421898!16s%2Fg%2F11q23kb1bg!19sChIJjVmAZ6WpLz4RuTw59Mw8FRw?authuser=0&hl=en&rclk=1,,,384,,,,,,,,cafe shops
Al-Juri rest house,3.4,cafe shop,,24.627649,46.8419309,https://www.google.com/maps/place/%D8%A5%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AC%D9%88%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2fa7942844c2c9:0xfb052def193a94b2!8m2!3d24.627649!4d46.8419309!16s%2Fg%2F11cn930jqw!19sChIJycJEKJSnLz4RspQ6Ge8tBfs?authuser=0&hl=en&rclk=1,,,12,,,,,,,,cafe shops
Dana Cafe Sepe,3.7,cafe shop,,24.684759,46.8418998,https://www.google.com/maps/place/Dana+Cafe+%D8%A7%D9%84%D8%B3%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9f6a3bc186b:0x3d76f3e677c1eb45!8m2!3d24.684759!4d46.8418998!16s%2Fg%2F11f64689c_!19sChIJaxi8o_apLz4RRevBd-bzdj0?authuser=0&hl=en&rclk=1,,,46,,,,,,,,cafe shops
Ra Cafe | Adequate,4.1,cafe shop,,24.6850219,46.841482,https://www.google.com/maps/place/RA+CAFE+%7C+%D8%B1%D8%A7%D8%A1+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fa995232e4747:0x762f144271a295e8!8m2!3d24.6850219!4d46.841482!16s%2Fg%2F11s3_lthpn!19sChIJR0cuI5WpLz4R6JWicUIUL3Y?authuser=0&hl=en&rclk=1,,,91,,,,,,,,cafe shops
Diwaniyah of Talal Al-Enezi,3.7,cafe shop,,24.6902538,46.8413131,https://www.google.com/maps/place/%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D8%B7%D9%84%D8%A7%D9%84+%D8%A7%D9%84%D8%B9%D9%86%D8%B2%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9cb2380de8d:0x9b882950e194b8c3!8m2!3d24.6902538!4d46.8413131!16s%2Fg%2F11fzzkcs5p!19sChIJjd6AI8upLz4Rw7iU4VApiJs?authuser=0&hl=en&rclk=1,,,120,,,,,,,,cafe shops
Golden Diwaniyah for Arab Coffee,4.3,cafe shop,,24.7603649,46.8406598,https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D8%B0%D9%87%D8%A8%D9%8A%D8%A9+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fabd2accfd41b:0x6da34dddbd727386!8m2!3d24.7603649!4d46.8406598!16s%2Fg%2F11hy_wt315!19sChIJG9TPrNKrLz4RhnNyvd1No20?authuser=0&hl=en&rclk=1,,,32,,,,,,,,cafe shops
Abu Muhammad,3.0,cafe shop,,24.7155003,46.8404986,https://www.google.com/maps/place/%D8%A7%D8%A8%D9%88+%D9%85%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3e2fa95178e25be9:0xaf078b23909a3c9!8m2!3d24.7155003!4d46.8404986!16s%2Fg%2F11txjqyv8n!19sChIJ6VvieFGpLz4RyaMJObJ48Ao?authuser=0&hl=en&rclk=1,,,1,,,,,,,,cafe shops
Amour Resort,5.0,cafe shop,,24.8144836,46.839789,https://www.google.com/maps/place/%D8%A3%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%85%D9%88%D8%B1+Amour+Resort%E2%80%AD/data=!4m7!3m6!1s0x3e2e55a85686de1d:0xb6407623a78f8b0e!8m2!3d24.8144836!4d46.839789!16s%2Fg%2F11spwc6npq!19sChIJHd6GVqhVLj4RDouPpyN2QLY?authuser=0&hl=en&rclk=1,,,1,,,,,,,,cafe shops
Sufficient Diwaniya Sakun,4.1,cafe shop,,24.7436831,46.8389474,https://www.google.com/maps/place/%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D8%B3%D9%83%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2fab1bf8088b25:0xd8f586ed8a2ffa1b!8m2!3d24.7436831!4d46.8389474!16s%2Fg%2F11tcgp66kq!19sChIJJYsI-BurLz4RG_oviu2G9dg?authuser=0&hl=en&rclk=1,,,22,,,,,,,,cafe shops
Coffee style,4.8,cafe shop,,24.7454878,46.8388813,https://www.google.com/maps/place/%D8%A3%D8%B3%D9%84%D9%88%D8%A8+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fabf07428c2af:0x3ffe7f7b73508211!8m2!3d24.7454878!4d46.8388813!16s%2Fg%2F11lrwvrs_l!19sChIJr8IodPCrLz4REYJQc3t__j8?authuser=0&hl=en&rclk=1,,,17,,,,,,,,cafe shops
Sufficient catastrophe,4.7,cafe shop,,24.7077603,46.8388491,https://www.google.com/maps/place/%D9%86%D9%83%D8%B3%D8%AA+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fa906107dde61:0x2aa629b78ed00cf1!8m2!3d24.7077603!4d46.8388491!16s%2Fg%2F11rgd5g417!19sChIJYd59EAapLz4R8QzQjrcppio?authuser=0&hl=en&rclk=1,,,24,,,,,,,,cafe shops
The perfect coffee,3.4,cafe shop,,24.7077571,46.8388453,https://www.google.com/maps/place/%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AB%D8%A7%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9e9e141a3bf:0xb3e33a75722e2797!8m2!3d24.7077571!4d46.8388453!16s%2Fg%2F11hbpdfgdz!19sChIJv6NB4empLz4RlycucnU647M?authuser=0&hl=en&rclk=1,,,24,,,,,,,,cafe shops
coffee shop,4.4,cafe shop,,24.7506033,46.8379826,https://www.google.com/maps/place/coffee+shop/data=!4m7!3m6!1s0x3e2fabacaeefda03:0x1b96e8e44bdb6569!8m2!3d24.7506033!4d46.8379826!16s%2Fg%2F11qg4t2qf0!19sChIJA9rvrqyrLz4RaWXbS-Tolhs?authuser=0&hl=en&rclk=1,,,8,,,,,,,,cafe shops
Gallery,4.7,cafe shop,,24.8202349,46.8377881,https://www.google.com/maps/place/Gallery/data=!4m7!3m6!1s0x3e2e55425b765965:0x17cc9aac72306ace!8m2!3d24.8202349!4d46.8377881!16s%2Fg%2F11hcfqcbzv!19sChIJZVl2W0JVLj4RzmowcqyazBc?authuser=0&hl=en&rclk=1,,,3,,,,,,,,cafe shops
HAWA Coffee,4.0,cafe shop,,24.7526003,46.8373997,https://www.google.com/maps/place/HAWA+Coffee/data=!4m7!3m6!1s0x3e2fab6cb79c052b:0xf36ed04660dbad92!8m2!3d24.7526003!4d46.8373997!16s%2Fg%2F11qg4t20nd!19sChIJKwWct2yrLz4Rkq3bYEbQbvM?authuser=0&hl=en&rclk=1,,,2,,,,,,,,cafe shops
"Two coffee shops and sababins, Abu Muhammad Al-Yamani",5.0,cafe shop,,24.9100935,46.8373971,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%AC%D9%8A%D9%8A%D9%86+%D9%88%D8%B5%D8%A8%D8%A7%D8%A8%D9%8A%D9%86+%D8%A7%D8%A8%D9%88+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D9%8A%D9%85%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2e57441b8ae92d:0x9d87079e79bcda42!8m2!3d24.9100935!4d46.8373971!16s%2Fg%2F11sfbj_lsp!19sChIJLemKG0RXLj4RQtq8eZ4Hh50?authuser=0&hl=en&rclk=1,,,7,,,,,,,,cafe shops
Black Day Café,4.2,cafe shop,,24.7474585,46.837286,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%A3%D8%B3%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3e2fabc1c7a8fde1:0x773251cab7ff35e3!8m2!3d24.7474585!4d46.837286!16s%2Fg%2F11smjl5n2h!19sChIJ4f2ox8GrLz4R4zX_t8pRMnc?authuser=0&hl=en&rclk=1,,,21,,,,,,,,cafe shops
Nafhat Al-Kif Cafe,4.7,cafe shop,,24.7381663,46.8371778,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%86%D9%81%D8%AD%D8%A9+%D8%A7%D9%84%D9%83%D9%8A%D9%81%E2%80%AD/data=!4m7!3m6!1s0x3e2fab32ab90ef69:0xf98b59bb805ffa38!8m2!3d24.7381663!4d46.8371778!16s%2Fg%2F11q4hlkdt9!19sChIJae-QqzKrLz4ROPpfgLtZi_k?authuser=0&hl=en&rclk=1,,,29,,,,,,,,cafe shops
"Diwaniya, the home of how",4.1,cafe shop,,24.8487057,46.8371136,https://www.google.com/maps/place/%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D9%85%D9%88%D8%B7%D9%86+%D8%A7%D9%84%D9%83%D9%8A%D9%81%E2%80%AD/data=!4m7!3m6!1s0x3e2e55cc8d1cbe85:0xe8947ad7fe741393!8m2!3d24.8487057!4d46.8371136!16s%2Fg%2F11fk3_qlpv!19sChIJhb4cjcxVLj4RkxN0_td6lOg?authuser=0&hl=en&rclk=1,,,63,,,,,,,,cafe shops
Crack T -| Karak t,4.0,cafe shop,,24.8582198,46.8369386,https://www.google.com/maps/place/%D9%83%D8%B1%D9%83+%D8%AA%D9%8A+%7C+KARAK+T%E2%80%AD/data=!4m7!3m6!1s0x3e2e55665a2574cd:0xec732accfb9caaf3!8m2!3d24.8582198!4d46.8369386!16s%2Fg%2F11sd_0blc6!19sChIJzXQlWmZVLj4R86qc-8wqc-w?authuser=0&hl=en&rclk=1,,,4,,,,,,,,cafe shops
Closed,5.0,cafe shop,,24.6818274,46.8368992,https://www.google.com/maps/place/%D8%AF%D8%A8%D9%84+%D9%85%D9%82%D9%81%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9864e798a03:0xaa4a73c3e1fe0382!8m2!3d24.6818274!4d46.8368992!16s%2Fg%2F11ts39qhqv!19sChIJA4p5ToapLz4RggP-4cNzSqo?authuser=0&hl=en&rclk=1,,,2,,,,,,,,cafe shops
Taj Coffee,3.9,cafe shop,,24.8363742,46.8366766,https://www.google.com/maps/place/Taj+Coffee/data=!4m7!3m6!1s0x3e2e55773b006d4f:0xe18dd8343680dce1!8m2!3d24.8363742!4d46.8366766!16s%2Fg%2F11f3sbnrbv!19sChIJT20AO3dVLj4R4dyANjTYjeE?authuser=0&hl=en&rclk=1,,,49,,,,,,,,cafe shops
Coffee Doha Coffee,4.3,cafe shop,,24.7391972,46.8363924,https://www.google.com/maps/place/%D9%83%D9%88%D9%81%D9%8A+%D8%AF%D9%88%D8%AD%D8%A9+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fabf0fed211b1:0x4430cbe2e35d18bc!8m2!3d24.7391972!4d46.8363924!16s%2Fg%2F11lgtcq7zb!19sChIJsRHS_vCrLz4RvBhd4-LLMEQ?authuser=0&hl=en&rclk=1,,,62,,,,,,,,cafe shops
Bin Kafia housing,2.5,cafe shop,,24.56822,46.8362513,https://www.google.com/maps/place/%D8%A8%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%D8%A7%D9%84%D8%A7%D8%B3%D9%83%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2fa11ae0d3c011:0x1c08094515166edf!8m2!3d24.56822!4d46.8362513!16s%2Fg%2F11j0yjhn86!19sChIJEcDT4BqhLz4R324WFUUJCBw?authuser=0&hl=en&rclk=1,,,2,,,,,,,,cafe shops
BON CAFE,3.5,cafe shop,,24.5681701,46.8361451,https://www.google.com/maps/place/%D8%A8%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87+BON+CAFE%E2%80%AD/data=!4m7!3m6!1s0x3e2fa1631ce457a9:0x2f1a2987deb470ae!8m2!3d24.5681701!4d46.8361451!16s%2Fg%2F11h5rk9wlz!19sChIJqVfkHGOhLz4RrnC03ocpGi8?authuser=0&hl=en&rclk=1,,,15,,,,,,,,cafe shops
"Diwaniya, how are the councils",3.2,cafe shop,,24.7769085,46.8359278,https://www.google.com/maps/place/%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D9%83%D9%8A%D9%81+%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%84%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x3e2fab827bbdc2f5:0xf2deda1b86d354ee!8m2!3d24.7769085!4d46.8359278!16s%2Fg%2F11s3tzxy6z!19sChIJ9cK9e4KrLz4R7lTThhva3vI?authuser=0&hl=en&rclk=1,,,12,,,,,,,,cafe shops
Karamor Coffee - Karamor,4.7,cafe shop,,24.823038,46.8357316,https://www.google.com/maps/place/Karamor+Coffee+-+%D9%83%D8%A7%D8%B1%D8%A7%D9%85%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2e5581f9094a57:0x75e97d5b08a824c4!8m2!3d24.823038!4d46.8357316!16s%2Fg%2F11rq9qbkzk!19sChIJV0oJ-YFVLj4RxCSoCFt96XU?authuser=0&hl=en&rclk=1,,,21,,,,,,,,cafe shops
Costa Coffee Costa is enough,4.0,cafe shop,,24.7006449,46.8356892,https://www.google.com/maps/place/Costa+Coffee+%D9%83%D9%88%D8%B3%D8%AA%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9cda3a35dc9:0x8c93b9c33d7728ac!8m2!3d24.7006449!4d46.8356892!16s%2Fg%2F11thkwh5t9!19sChIJyV2jo82pLz4RrCh3PcO5k4w?authuser=0&hl=en&rclk=1,,,101,,,,,,,,cafe shops
Dollar lounge,4.3,cafe shop,,24.7739921,46.8355285,https://www.google.com/maps/place/Dollar+lounge/data=!4m7!3m6!1s0x3e2fab3f3b8b2675:0xa0078ba461dd7ffb!8m2!3d24.7739921!4d46.8355285!16s%2Fg%2F11tc00h3x6!19sChIJdSaLOz-rLz4R-3_dYaSLB6A?authuser=0&hl=en&rclk=1,,,163,,,,,,,,cafe shops
